.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR3216785_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216786_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216787_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216788_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216789_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216790_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216791_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216792_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216793_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216794_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216795_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216796_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216797_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216798_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216799_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216800_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216801_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216802_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216803_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	0.25
SRR3216804_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216805_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216806_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216807_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216808_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216809_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216810_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216811_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216812_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216813_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216814_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216815_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216816_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216817_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216818_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216819_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216820_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216821_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216822_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216823_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216824_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216825_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216826_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216827_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216828_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216829_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216830_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216831_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216832_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216833_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216834_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216835_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216836_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216837_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216838_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216839_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216840_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216841_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216842_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216843_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216844_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216845_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216846_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216847_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216848_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216849_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216850_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216851_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216852_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216853_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216854_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216855_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216856_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216857_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216858_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216859_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216860_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR3216861_1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
