Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR3216624_1	(1.0, 5.905110975361434)	(2.0, 3.2172673589900223)	(3.0, 2.2602321319486864)	(4.0, 1.3846467114640602)	(5.0, 1.018122581958868)	(6.0, 0.6108735491753208)	(7.0, 0.9977601303196905)	(8.0, 0.8144980655670943)	(9.0, 0.5497861942577886)	('>10', 12.889431887599267)	('>50', 8.939116269598859)	('>100', 23.986968030950926)	('>500', 37.42618611280798)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216625_1	(1.0, 1.1382964804396178)	(2.0, 0.5669675956212656)	(3.0, 0.523354703650399)	(4.0, 0.5407998604387456)	(5.0, 0.3270966897814994)	(6.0, 0.4448514981028392)	(7.0, 0.4274063413144925)	(8.0, 0.4186837629203193)	(9.0, 0.43176763051157924)	('>10', 5.2204631689127305)	('>50', 1.304025469928911)	('>100', 2.006193030659863)	('>500', 0.0)	('>1k', 5.473417942343757)	('>5k', 24.97274194251821)	('>10k+', 56.20393388285577)
SRR3216626_1	(1.0, 1.325178389398573)	(2.0, 0.6989951944080385)	(3.0, 0.5679335954565312)	(4.0, 0.3689141303820203)	(5.0, 0.291247997670016)	(6.0, 0.5533711955730304)	(7.0, 0.6455997281685355)	(8.0, 0.582495995340032)	(9.0, 0.2621231979030144)	('>10', 4.936653560506771)	('>50', 1.1698461239745643)	('>100', 2.2668802485316246)	('>500', 0.0)	('>1k', 6.3006650162613465)	('>5k', 27.46468618028251)	('>10k+', 52.5654094461434)
SRR3216627_1	(1.0, 1.5693112467306016)	(2.0, 0.8870020090216443)	(3.0, 0.716424699594405)	(4.0, 0.40938554262537435)	(5.0, 0.4927788939009135)	(6.0, 0.4548728251393048)	(7.0, 0.5041507145293962)	(8.0, 0.4245479701300178)	(9.0, 0.3411546188544786)	('>10', 6.788976915204124)	('>50', 2.4676850763807283)	('>100', 3.2447594859937077)	('>500', 0.0)	('>1k', 5.587354535461127)	('>5k', 21.155376975853834)	('>10k+', 54.95621849058034)
SRR3216628_1	(1.0, 2.947342458996177)	(2.0, 2.293747687754347)	(3.0, 1.4798372179060304)	(4.0, 1.0852139597977557)	(5.0, 0.6782587248735973)	(6.0, 0.8879023307436182)	(7.0, 0.863238377111851)	(8.0, 0.49327907263534343)	(9.0, 0.8879023307436182)	('>10', 10.038229128129238)	('>50', 8.45973609569614)	('>100', 12.257984954988284)	('>500', 11.20976692563818)	('>1k', 46.41756073498582)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216629_1	(1.0, 3.3024118738404455)	(2.0, 2.2098536384250673)	(3.0, 1.2987012987012987)	(4.0, 0.8905380333951763)	(5.0, 0.6596578025149453)	(6.0, 0.7915893630179345)	(7.0, 1.0101010101010102)	(8.0, 0.6926406926406926)	(9.0, 0.5936920222634509)	('>10', 7.334570191713048)	('>50', 3.137497423211709)	('>100', 17.996289424860855)	('>500', 4.988662131519274)	('>1k', 55.093795093795094)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216630_1	(1.0, 3.3796251335340393)	(2.0, 2.4667378848208217)	(3.0, 1.6024084684859667)	(4.0, 1.3984655724968438)	(5.0, 0.534136156161989)	(6.0, 0.5826939885403516)	(7.0, 0.4078857919782461)	(8.0, 0.4661551908322813)	(9.0, 0.43702049140526367)	('>10', 6.623288336408663)	('>50', 3.5350101971447994)	('>100', 11.750995435563755)	('>500', 11.683014470234049)	('>1k', 55.13256288239293)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216631_1	(1.0, 0.9665350239035543)	(2.0, 0.4780710870920806)	(3.0, 0.6235709831635835)	(4.0, 0.4988567865308668)	(5.0, 0.363749740178757)	(6.0, 0.6859280814799418)	(7.0, 0.2909997921430056)	(8.0, 0.1662855955102889)	(9.0, 0.28060694242361256)	('>10', 6.744959467886094)	('>50', 0.5612138848472251)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 88.33922261484098)	('>10k+', 0.0)
SRR3216632_1	(1.0, 1.9150445267554574)	(2.0, 1.166364567735834)	(3.0, 0.7092757506501695)	(4.0, 0.6619907006068247)	(5.0, 0.43344629206399243)	(6.0, 0.5674206005201355)	(7.0, 0.8274883757585311)	(8.0, 0.3152336669556309)	(9.0, 0.28371030026006777)	('>10', 7.486799590196233)	('>50', 0.8668925841279849)	('>100', 5.910631255418078)	('>500', 4.689100795965009)	('>1k', 0.0)	('>5k', 74.16660099298605)	('>10k+', 0.0)
SRR3216633_1	(1.0, 1.2921327574113044)	(2.0, 0.878650275039687)	(3.0, 0.5426957581127478)	(4.0, 0.47255140842470555)	(5.0, 0.33226270904862115)	(6.0, 0.35441355631852917)	(7.0, 0.4134824823716174)	(8.0, 0.17720677815926458)	(9.0, 0.16613135452431058)	('>10', 5.689075940488057)	('>50', 1.5394838852586112)	('>100', 5.124229335105401)	('>500', 3.533060139550338)	('>1k', 15.487134049544062)	('>5k', 0.0)	('>10k+', 63.99748957064274)
SRR3216634_1	(1.0, 1.7867922250392372)	(2.0, 0.7243752263672582)	(3.0, 0.7243752263672582)	(4.0, 0.676083544609441)	(5.0, 0.7847398285645297)	(6.0, 0.3621876131836291)	(7.0, 1.0141253169141615)	(8.0, 0.4829168175781722)	(9.0, 0.4346251358203549)	('>10', 5.456960038633345)	('>50', 0.0)	('>100', 3.718459495351926)	('>500', 0.0)	('>1k', 0.0)	('>5k', 83.83435953157068)	('>10k+', 0.0)
SRR3216635_1	(1.0, 2.7356428429489306)	(2.0, 1.920911439358813)	(3.0, 1.1128038683182089)	(4.0, 0.9008412267337882)	(5.0, 0.46366827846592035)	(6.0, 0.71537391534742)	(7.0, 0.2782009670795522)	(8.0, 0.6888785851493674)	(9.0, 0.47691594356494665)	('>10', 4.702921110154335)	('>50', 1.735444127972445)	('>100', 13.201298271179704)	('>500', 35.07981718222163)	('>1k', 0.0)	('>5k', 35.987282241504936)	('>10k+', 0.0)
SRR3216636_1	(1.0, 4.365703228927319)	(2.0, 2.854033135808441)	(3.0, 1.596323618333535)	(4.0, 1.2577095174749062)	(5.0, 1.2093360744951023)	(6.0, 0.43536098681823676)	(7.0, 0.6772282017172573)	(8.0, 0.7739750876768654)	(9.0, 0.10884024670455919)	('>10', 9.904462450114886)	('>50', 3.6884750272100613)	('>100', 30.584109323981135)	('>500', 15.298101342363044)	('>1k', 27.246341758374655)	('>5k', 0.0)	('>10k+', 0.0)
SRR3216637_1	(1.0, 1.6968987712112347)	(2.0, 1.4745465184318316)	(3.0, 1.1234640140433)	(4.0, 0.7489760093622001)	(5.0, 0.8777062609713282)	(6.0, 0.7723815096547688)	(7.0, 0.40959625511995323)	(8.0, 0.9362200117027502)	(9.0, 0.4212990052662376)	('>10', 4.634289057928613)	('>50', 0.0)	('>100', 3.4055002925687536)	('>500', 0.0)	('>1k', 14.265652428320655)	('>5k', 69.23346986541837)	('>10k+', 0.0)
