sample-id	age	ethnicity	isolate	sex	tissue
SRR3216945_1	21	EastAsian	Scalp	male	Skin
SRR3216946_1	21	EastAsian	Axilla	male	Skin
SRR3216947_1	21	EastAsian	Arm	male	Skin
SRR3216948_1	21	EastAsian	Arm	male	Skin
SRR3216949_1	22	EastAsian	Scalp	male	Skin
SRR3216950_1	22	EastAsian	Axilla	male	Skin
SRR3216951_1	22	EastAsian	Scalp	male	Skin
SRR3216952_1	22	EastAsian	Axilla	male	Skin
SRR3216953_1	22	EastAsian	Arm	male	Skin
SRR3216954_1	22	EastAsian	Arm	male	Skin
SRR3216955_1	22	EastAsian	Scalp	male	Skin
SRR3216956_1	22	EastAsian	Axilla	male	Skin
SRR3216957_1	22	EastAsian	Scalp	male	Skin
SRR3216958_1	22	EastAsian	Axilla	male	Skin
SRR3216959_1	22	EastAsian	Arm	male	Skin
SRR3216960_1	22	EastAsian	Arm	male	Skin
SRR3216961_1	47	EastAsian	Scalp	male	Skin
SRR3216962_1	47	EastAsian	Axilla	male	Skin
SRR3216963_1	47	EastAsian	Scalp	male	Skin
SRR3216964_1	47	EastAsian	Axilla	male	Skin
SRR3216965_1	47	EastAsian	Arm	male	Skin
SRR3216966_1	47	EastAsian	Arm	male	Skin
SRR3216967_1	25	EastAsian	Scalp	male	Skin
SRR3216968_1	25	EastAsian	Axilla	male	Skin
SRR3216969_1	25	EastAsian	Scalp	male	Skin
SRR3216970_1	25	EastAsian	Axilla	male	Skin
SRR3216971_1	25	EastAsian	Arm	male	Skin
SRR3216972_1	25	EastAsian	Arm	male	Skin
SRR3216973_1	43	EastAsian	Scalp	male	Skin
SRR3216974_1	43	EastAsian	Axilla	male	Skin
SRR3216975_1	43	EastAsian	Scalp	male	Skin
SRR3216976_1	43	EastAsian	Axilla	male	Skin
SRR3216977_1	43	EastAsian	Arm	male	Skin
SRR3216978_1	43	EastAsian	Arm	male	Skin
SRR3216979_1	23	EastAsian	Scalp	male	Skin
SRR3216980_1	23	EastAsian	Axilla	male	Skin
SRR3216981_1	23	EastAsian	Scalp	male	Skin
SRR3216982_1	23	EastAsian	Axilla	male	Skin
SRR3216983_1	23	EastAsian	Arm	male	Skin
SRR3216984_1	23	EastAsian	Arm	male	Skin
SRR3216985_1	24	EastAsian	Scalp	male	Skin
SRR3216986_1	24	EastAsian	Axilla	male	Skin
SRR3216987_1	24	EastAsian	Scalp	male	Skin
SRR3216988_1	24	EastAsian	Axilla	male	Skin
SRR3216989_1	24	EastAsian	Arm	male	Skin
SRR3216990_1	24	EastAsian	Arm	male	Skin
SRR3216991_1	34	EastAsian	Scalp	male	Skin
SRR3216992_1	34	EastAsian	Axilla	male	Skin
SRR3216993_1	34	EastAsian	Scalp	male	Skin
SRR3216994_1	34	EastAsian	Axilla	male	Skin
SRR3216995_1	34	EastAsian	Arm	male	Skin
SRR3216996_1	34	EastAsian	Arm	male	Skin
SRR3216997_1	34	Hispanic	Scalp	male	Skin
SRR3216998_1	34	Hispanic	Axilla	male	Skin
SRR3216999_1	34	Hispanic	Scalp	male	Skin
SRR3217000_1	34	Hispanic	Axilla	male	Skin
SRR3217001_1	34	Hispanic	Arm	male	Skin
SRR3217002_1	34	Hispanic	Arm	male	Skin
SRR3217003_1	35	Hispanic	Scalp	male	Skin
SRR3217004_1	35	Hispanic	Axilla	male	Skin
SRR3217005_1	35	Hispanic	Arm	male	Skin
SRR3217006_1	31	Hispanic	Scalp	male	Skin
SRR3217007_1	31	Hispanic	Axilla	male	Skin
SRR3217008_1	31	Hispanic	Scalp	male	Skin
SRR3217009_1	31	Hispanic	Axilla	male	Skin
