Feature ID	Taxon	Consensus
0165aeba6ea83ae44734752ba6b164a8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Incertae_Sedis	1.0
0166f67a34af635b9cb8efa19a75d3fb	d__Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae	0.8
01686225af317d2ce6a2801e879808fb	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.8
016fbfdd291838cddec6415b9b6e82d0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria	0.8
01730f6bd15f490f96ed2728d6ae9c0b	d__Bacteria; p__Bacillota	0.55
01763d524df41ce0496d17a2a2a10e0d	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Incertae_Sedis	0.667
01776bd41ef193a2cd02efbf9bbb6ee6	d__Bacteria	1.0
0179d77637ae4a0ece69abc4bb2eb885	d__Bacteria	1.0
017acf351e8cdb847a82d16e7c453ca3	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__Incertae_Sedis	0.818
017b7dd9c0966d28a86aad34d0236237	d__Bacteria; p__Bacillota; c__Clostridia	0.545
017be83fbbd51f7686fde88ea250da49	d__Bacteria; p__Bacteroidota; c__Bacteroidia	1.0
0180c98e4b7e10bc47a7783dbca8606e	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.7
0182ec5bb972953e5754782a7ca777f4	d__Bacteria; p__Actinomycetota; c__Actinobacteria	0.833
01837c3eac58d16de7fcb6351f9a9e0c	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales	0.7
018915db9f55b2e2248dea0fba0efee4	d__Bacteria; p__Bacillota; c__Clostridia	0.6
0195516f423bb413e9960fa270b6943e	d__Bacteria; p__Bacteroidota; c__Bacteroidia	1.0
019628ba93bd46e6ed7a011982fcfa28	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	0.65
019fa0deb918828a043c1497413ac409	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria	1.0
01a8d1b7bc5798db63125710935617e4	d__Bacteria; p__Bacillota	0.55
01b6f785004f6e00a9896727ff3e1aa9	d__Bacteria; p__Bacillota	0.55
01c089bc1e0ca9f44017bbd021f337fb	d__Bacteria; p__Bacteroidota; c__Bacteroidia	1.0
01c1626bd38ec7ce76a4a7aa4c3d5ba3	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.7
01c2d14ab43e7167c6b753502dde2d50	d__Bacteria; p__Bacillota	0.55
01c41556c4ff104e49d0199073ff85cc	d__Bacteria; p__Bacillota	0.55
01c8308b308039c71e77ddd122b34107	d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	0.769
01c93df91225088f7680036627c5375a	d__Bacteria; p__Pseudomonadota	0.6
01ce25bd8ff888abd2cb468531e04822	d__Bacteria; p__Bacillota	0.55
