"taxon","lfc_isolateAxilla","lfc_isolateScalp","lfc_isolateScalp_isolateAxilla","se_isolateAxilla","se_isolateScalp","se_isolateScalp_isolateAxilla","W_isolateAxilla","W_isolateScalp","W_isolateScalp_isolateAxilla","p_isolateAxilla","p_isolateScalp","p_isolateScalp_isolateAxilla","q_isolateAxilla","q_isolateScalp","q_isolateScalp_isolateAxilla","diff_isolateAxilla","diff_isolateScalp","diff_isolateScalp_isolateAxilla","passed_ss_isolateAxilla","passed_ss_isolateScalp","passed_ss_isolateScalp_isolateAxilla","diff_robust_isolateAxilla","diff_robust_isolateScalp","diff_robust_isolateScalp_isolateAxilla","Taxon","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7"
"71d66ceaddb03115b1c894ff4284735c",0.0691088167917842,-0.0281575642897277,-0.097266381081512,0.135463936595334,0.128981266954406,0.148490586288444,0.510163948639927,-0.2183073942023,-0.655033989108045,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Bacteroidota; c__Bacteroidia","Bacteria","p__Bacteroidota","c__Bacteroidia",NA,NA,NA,NA
"30554407069b2367b77ee68c1982db14",-0.105352141472117,0.0677079553113879,0.173060096783505,0.130404072129712,0.123132830488193,0.144707158815972,-0.807889966559666,0.549877356371501,1.19593320883033,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Mycobacteriales; f__Corynebacteriaceae; g__Corynebacterium","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Mycobacteriales","f__Corynebacteriaceae","g__Corynebacterium",NA
"0d87b112bc336b97248bf4757a668689",0.710852528685393,0.569088544213461,-0.141763984471932,0.131422279017172,0.126290354279673,0.146244125690172,5.40891950741861,4.50619168391278,-0.9693653252936,4.13710375483785e-07,1.7485798003421e-05,0.334633734614585,1.44649814737496e-06,4.36515964545833e-05,0.500746883452041,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Bacillota; c__Bacilli","Bacteria","p__Bacillota","c__Bacilli",NA,NA,NA,NA
"8f09bac714c02dc9415770271349dc99",-0.359426304490307,-0.0128448930816478,0.346581411408659,0.132193402726589,0.125692436577242,0.14450430659823,-2.71894282979989,-0.102193047023591,2.39841579512416,0.00817767967136065,0.918883641666152,0.0190225207226289,0.0285924627358365,1,0.0474878754730376,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales","Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales",NA,NA,NA
"b2bba50ae5022b13d0cd6641814e0713",0.129446538957329,0.473236845928239,0.34379030697091,0.134369742261299,0.130953907062017,0.149228074395556,0.963360774374368,3.61376652705843,2.30379108196244,0.337864775342224,0.000489485576495966,0.0234617877924327,0.505581822094839,0.00171143877825208,0.058570074560965,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bacteria; p__Bacillota; c__Bacilli","Bacteria","p__Bacillota","c__Bacilli",NA,NA,NA,NA
"8d278be881c77f270f9250ee0f55ff8a",-0.603123147933671,-0.0626428092265087,0.540480338707162,0.135896154985982,0.130913834702961,0.147132271971042,-4.43811782604066,-0.478504119664994,3.67343160998382,1.76970815478141e-05,0.633002358087042,0.000334481041922252,6.18761268506304e-05,0.947226550230969,0.000834999435590083,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Bacteria; p__Bacteroidota; c__Bacteroidia","Bacteria","p__Bacteroidota","c__Bacteroidia",NA,NA,NA,NA
"d3247c936f8f4735909a8526ebf2f49e",-0.720465679282689,-0.167757807662323,0.552707871620366,0.130419808930927,0.124599569164771,0.145237601763735,-5.52420437653197,-1.34637550343757,3.80554253794056,2.30907181194785e-07,0.181000437563373,0.000235033787185886,8.07344532810544e-07,0.2708495756344,0.000586739022687068,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Bacillota","Bacteria","p__Bacillota",NA,NA,NA,NA,NA
"8e364327698c6e82d690bae5d042c737",-0.434704652042776,0.0210205506037806,0.455725202646557,0.132234663553208,0.127741785255304,0.146587780949218,-3.28737291994441,0.164555008854534,3.1088894292249,0.00137226741803463,0.869607632873184,0.00241167813373519,0.00479799974938727,1,0.00602052023313748,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter","Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter",NA
"2ce83ce8633190af0e5f51af6c6d7da8",0.00723519901899523,0.46361812451524,0.456382925496245,0.134131947211411,0.127012722515269,0.14603166209551,0.0539409079597686,3.65017074930825,3.12523269917831,0.95714519034306,0.00051901354125261,0.00264040900356443,1,0.00181468043919977,0.00659152463479754,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Pseudomonadota; c__Alphaproteobacteria","Bacteria","p__Pseudomonadota","c__Alphaproteobacteria",NA,NA,NA,NA
"bd8cba0d60fa455b0ca486f6256cc18a",0.300945031727289,-0.25573103580145,-0.556676067528739,0.131246550385025,0.123400579438803,0.146317103445598,2.29297479319978,-2.07236495131915,-3.80458643876665,0.0242610309115418,0.0411911808098354,0.000263455569982069,0.0605653073834894,0.0616386014996099,0.000921146813030833,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Bacteria; p__Actinomycetota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae","Bacteria","p__Actinomycetota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae",NA,NA
